Season,Team,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R
2025,"Angels",98.58283996582031,100.62766075134277,94.73335146903992,97.05197215080261,101.35113000869751,99.68641400337219,106.77956342697144,103.62894535064697
2025,"Orioles",103.02920341491699,103.42364311218262,95.20480632781982,97.96624183654785,91.08701944351196,119.71250772476196,105.98505735397339,94.48392987251282
2025,"Red Sox",103.75446081161499,104.74798679351807,117.95943975448608,103.8815975189209,113.93083333969116,118.51538419723511,94.95906233787537,101.04309320449829
2025,"White Sox",100.02424716949463,100.42828321456909,93.60142946243286,97.71320223808289,83.75597596168518,90.49612283706665,108.23229551315308,103.17080020904541
2025,"Guardians",99.89380836486816,101.39598846435547,99.09118413925171,102.67370939254761,81.76522850990295,95.14174461364746,103.24711799621582,95.71326971054077
2025,"Tigers",100.95043182373047,101.2975811958313,98.52127432823181,102.97446250915527,142.56858825683594,96.1294174194336,95.17844319343567,98.43816757202148
2025,"Royals",103.16720008850098,103.00365686416626,107.3487401008606,107.51057863235474,128.1503677368164,118.38477849960327,92.0756459236145,96.4497447013855
2025,"Twins",101.09144449234009,98.85503053665161,102.27051973342896,106.30426406860352,92.99829006195068,91.03355407714844,102.1462082862854,95.51209807395935
2025,"Yankees",96.71398401260376,97.46692180633545,95.12352347373962,96.1336076259613,84.92024540901184,86.22512221336365,106.75727128982544,103.54983806610107
2025,"Athletics",100.35866498947144,103.43120098114014,105.85657358169556,106.92678689956665,104.61539030075073,91.20419025421143,103.67834568023682,101.74274444580078
2025,"Mariners",95.17374038696289,94.87223029136658,93.45436692237854,93.04981231689453,75.11263489723206,84.20103192329407,92.89132356643677,97.7019727230072
2025,"Rays",99.87062811851501,106.51428699493408,96.47058844566345,96.4981734752655,82.03208446502686,100,99.67416524887085,108.1780195236206
2025,"Rangers",98.99276494979858,96.25771045684814,101.10175609588623,98.78459572792053,88.91860246658325,96.32834196090698,104.79931831359863,99.40712451934814
2025,"Blue Jays",96.58193588256836,97.62617945671082,104.68677282333374,99.4312047958374,88.27625513076782,89.73608613014221,96.60149812698364,105.31753301620483
2025,"Diamondbacks",101.63052082061768,103.26937437057495,103.91513109207153,105.3148865699768,119.23822164535522,120.25580406188965,88.4817123413086,92.26968884468079
2025,"Braves",101.79938077926636,99.47569966316223,96.66051864624023,98.68523478507996,91.40440821647644,111.13890409469604,99.3645966053009,97.31190204620361
2025,"Cubs",101.87976360321045,99.45210814476013,98.62043857574463,92.93169379234314,128.97658348083496,96.3546633720398,97.287517786026,100.5617618560791
2025,"Reds",100.50164461135864,102.38287448883057,100.1144289970398,102.00494527816772,89.7320568561554,77.82451510429382,116.99086427688599,113.6438250541687
2025,"Rockies",107.53504037857056,108.50769281387329,107.58748054504395,113.34152221679688,127.67717838287354,141.59419536590576,104.97181415557861,107.9511046409607
2025,"Marlins",102.12407112121582,100.26700496673584,99.85575675964355,101.40798091888428,112.896728515625,104.17389869689941,100.84682703018188,94.08032894134521
2025,"Astros",101.4421820640564,97.17687368392944,101.41633749008179,98.49257469177246,128.69211435317993,98.98362159729004,101.96635723114014,101.55967473983765
2025,"Dodgers",97.99501299858093,95.13742327690125,97.6897656917572,98.21682572364807,87.5090479850769,80.70170879364014,107.18127489089966,112.32326030731201
2025,"Brewers",94.42731738090515,96.62494659423828,94.94292736053467,96.97123169898987,106.84020519256592,100.35818815231323,104.95150089263916,101.9025206565857
2025,"Nationals",103.4756064414978,98.82062077522278,101.3029932975769,99.46532249450684,92.93530583381653,101.73149108886719,99.42591786384583,102.77366638183594
2025,"Mets",97.84380197525024,98.10706377029419,98.32337498664856,92.70907640457153,84.86877679824829,91.32649302482605,97.42481708526611,101.29746198654175
2025,"Phillies",99.93709921836853,98.67644906044006,95.18365263938904,99.51429963111877,109.07046794891357,95.6820011138916,108.14467668533325,103.8439393043518
2025,"Pirates",101.91315412521362,102.46577262878418,106.98540210723877,103.3260703086853,92.4736499786377,104.71804141998291,95.45446038246155,90.5401349067688
2025,"Cardinals",100.28836727142334,101.22267007827759,96.23991250991821,99.88765120506287,83.86332988739014,94.31970715522766,93.66637468338013,93.78699660301208
2025,"Padres",96.57524824142456,96.80222272872925,96.75478935241699,93.92171502113342,82.82974362373352,88.84925842285156,101.43065452575684,100.37600994110107
2025,"Giants",100.18277168273926,102.39019393920898,101.78320407867432,101.45803689956665,105.73800802230835,114.93126153945923,91.42735004425049,90.31288027763367